Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Remo - Tuna Luso 2:0,Brazil. Paraense,31/3/2024,CF,49,25,4,0,0,0,0,0,4,3,0,0,0,0,1,0,18,1,7,0,1,9,3,1,1,0,0
Amazonas - Remo 2:2,Brazil. Copa Verde,23/3/2024,CF,53,14,6,0,0,2,0,0.17,4,4,0,0,0,0,0,0,4,2,1,0,0,1,0,1,0,0,0
Remo - Amazonas 2:1,Brazil. Copa Verde,21/3/2024,CF,65,28,15,1,0,2,1,0.65,7,6,0,0,1,1,4,2,15,8,5,4,0,8,2,2,2,0,0
Remo - Santa Rosa 2:0,Brazil. Paraense,16/3/2024,CF,77,31,10,0,1,1,0,0,8,6,0,0,0,0,0,0,15,4,5,0,2,3,1,1,1,0,0
Santa Rosa - Remo 0:3,Brazil. Paraense,10/3/2024,CF,87,35,12,0,0,1,0,0.1,8,7,0,0,0,0,2,0,19,4,7,1,2,9,3,1,1,0,0
Bragantino PA - Remo 1:0,Brazil. Paraense,3/3/2024,CF,105,39,15,0,0,4,2,0.28,8,6,0,0,0,0,1,1,19,6,9,2,0,9,0,0,0,0,0
Remo - São Francisco PA 1:1,Brazil. Paraense,29/2/2024,CF,101,46,15,0,0,6,0,0.88,11,8,0,0,1,0,1,0,22,7,12,5,2,12,1,2,2,0,0
Remo - Águia de Marabá 2:0,Brazil. Paraense,25/2/2024,CF,100,45,16,0,0,2,1,0.2,9,9,0,0,0,0,1,0,28,6,11,4,1,10,3,1,1,0,0
Porto Velho - Remo 1:0,Brazil. Copa do Brasil,20/2/2024,CF,107,49,21,0,0,6,1,1.85,10,8,1,1,1,1,3,2,29,12,17,6,1,14,1,2,2,1,0
Remo - Tuna Luso 2:3,Brazil. Paraense,9/2/2024,RCMF,40,12,3,0,0,2,1,0.34,1,1,0,0,0,0,1,1,7,1,2,0,0,4,0,0,0,0,0
Náutico - São Bernardo FC 2:2,Brazil. Serie C,26/8/2023,CF,102,35,13,0,0,2,0,0.25,8,6,0,0,0,0,1,0,24,7,13,1,1,7,1,1,1,0,0
